gene,SW48-48h-12b1_Read_Count,SW48-48h-12b2_Read_Count,SW48-48h-12b3_Read_Count,SW48-48h-C1_Read_Count,SW48-48h-C2_Read_Count,SW48-48h-C3_Read_Count
AMPD1,0,0,0,0,0,0
AMPD2,3162,2637,2514,2568,2662,2494
AMPD3,30,14,15,118,72,108
AMPH,0,0,0,0,0,0
BIN1,2826,2704,2308,2245,2423,2176
AMT,1160,1008,1054,873,1041,879
AMY1A,3,5,3,6,0,4
AMY1B,1,2,1,1,0,0
AMY1C,3,4,3,7,0,5
AMY2A,0,0,0,11,0,0
AMY2B,149,110,97,170,121,132
AMYP1,0,0,0,0,0,0
ANG,455,366,394,293,350,282
ANGPT1,0,0,0,0,0,0
ANGPT2,0,0,0,0,0,0
ANK1,0,0,0,0,6,0
ANK2,263,210,174,328,370,285
ANK3,3415,2767,2607,2461,2799,2300
ANPEP,25,16,17,33,30,21
SLC25A4,4591,3934,3490,3728,3836,3508
SLC25A5,17620,15414,14174,12619,13007,11535
SLC25A6,9572,8951,8419,7050,7534,6894
ANXA1,263893,201504,197200,162488,173557,142417
ANXA2,93481,75934,74675,79361,83211,74588
ANXA2P1,2,1,3,0,2,3
ANXA2P2,98,92,101,73,92,75
ANXA2P3,1,1,1,1,2,3
ANXA3,9100,6988,6795,7003,6937,5895
ANXA4,6487,5475,5336,5973,6011,5157
ANXA5,9273,7206,6950,7559,7632,6697
ANXA6,6316,5767,5184,5327,5855,4914
ANXA7,10100,8827,7766,9521,9793,8232
ANXA11,11370,9616,9541,9057,9538,8540
ANXA13,0,0,0,0,0,0
AOAH,0,0,0,0,0,0
AOC2,557,465,473,366,401,354
AOX1,8,0,0,0,0,0
APAF1,2528,1984,1909,2295,2461,1952
NUDT2,703,573,494,646,571,475
APOF,0,0,0,0,0,0
APBA1,937,803,763,771,780,656
APBA2,59,45,27,38,41,37
APBB1,419,335,361,353,373,314
APBB2,5917,4873,4519,4530,4868,3847
APC,3062,2592,2102,2592,3020,2390
APCS,0,0,0,0,0,0
AIRE,0,0,0,0,0,0
APEH,7332,6552,6032,7760,8343,7084
APEX1,7152,6023,5462,5587,6332,5146
BIRC2,5016,3613,3537,3379,3496,2805
BIRC3,640,440,406,579,516,342
XIAP,3684,3081,2938,3153,3110,2449
BIRC5,5804,4801,4217,5418,5564,4855
APLP1,2202,2091,1960,1795,1717,1639
APLP2,27512,22522,22224,24419,26013,22391
APOA1,2,0,0,4,0,0
APOA2,22,28,9,24,21,21
APOA4,0,0,0,0,0,0
APOB,0,0,0,0,0,0
APOBEC1,0,0,0,0,0,0
APOC1,92,70,82,116,109,106
APOC1P1,0,0,0,0,0,0
AQP8,6,0,0,0,0,4
APOC2,0,0,0,0,0,0
APOC3,0,0,0,0,0,0
APOC4,0,0,0,0,0,0
APOD,55,47,38,22,42,39
APOE,45,56,52,38,48,36
APOH,0,0,0,0,0,0
APP,51013,44441,41673,38829,41857,35897
APRT,2665,2356,2002,2713,2674,2353
KLK3,0,0,0,0,0,0
FAS,456,360,376,478,568,365
FASLG,0,0,0,0,5,0
