gene,coef,abs_coef
SLC25A10,-0.0056454911531657395,0.0056454911531657395
CZ1P-ASNS,-0.005630234604887796,0.005630234604887796
BBC3,0.005601705286475381,0.005601705286475381
LINC02755,0.005600687173805886,0.005600687173805886
MYCBP,-0.00555074260095706,0.00555074260095706
SFN,-0.00548735278846365,0.00548735278846365
OGFRP1,-0.005486891256927109,0.005486891256927109
LINC02254,-0.005435174685998944,0.005435174685998944
KRT7,0.005428804348524215,0.005428804348524215
RRAS2,0.005406929707403894,0.005406929707403894
MIR1236,0.005362141877410732,0.005362141877410732
RPL7AP37,0.005304578848552793,0.005304578848552793
IMPG2,-0.005300668594196321,0.005300668594196321
STAC2,0.005288385016248397,0.005288385016248397
LGALS1,0.005205162504767062,0.005205162504767062
QRICH2,-0.005184057900597455,0.005184057900597455
KLHL33,-0.005179730546104416,0.005179730546104416
RAB1AP1,0.005166710325487163,0.005166710325487163
ZDHHC20P4,0.0051104522762164765,0.0051104522762164765
LOC105374355,-0.00507967349986149,0.00507967349986149
PAX2,-0.005053521748377534,0.005053521748377534
YPEL2,0.005032297557928659,0.005032297557928659
PLAU,0.004974735395680692,0.004974735395680692
ITGA10,0.00497008000604338,0.00497008000604338
EEF1A1P11,0.004837412111982139,0.004837412111982139
LOC105377750,-0.004821987190815335,0.004821987190815335
EEF1A1P13,0.0048130788223284,0.0048130788223284
TMC4,0.00470856782157654,0.00470856782157654
POLR2L,-0.004686590993640821,0.004686590993640821
LOC105379351,0.004686331468161715,0.004686331468161715
SNORD83A,-0.004656384649295969,0.004656384649295969
LOC105378675,-0.004629356180670004,0.004629356180670004
SLPI,0.00459272303485235,0.00459272303485235
LOC112267993,-0.004574322428374261,0.004574322428374261
HDAC5,0.00457076092039139,0.00457076092039139
LOC107986084,0.004545371449145241,0.004545371449145241
TXNIP,-0.004524865140097422,0.004524865140097422
LOC105373915,-0.00452427628714503,0.00452427628714503
USP2,0.0045160360830585914,0.0045160360830585914
GALE,-0.004513513255156365,0.004513513255156365
C2orf81,-0.004505222573621794,0.004505222573621794
CLIP2,0.0044547999642323075,0.0044547999642323075
LOC105370275,0.004441495861667548,0.004441495861667548
SLC29A2,-0.004432158049859927,0.004432158049859927
GJC1,-0.004342535752288832,0.004342535752288832
DNAH10,-0.004341765987989108,0.004341765987989108
LOC101928263,-0.0043034710397931225,0.0043034710397931225
LOC101928487,0.004290469678500468,0.004290469678500468
DUSP8P2,0.004264620313320533,0.004264620313320533
NTRK3,-0.004242511323435618,0.004242511323435618
MIR194-2,0.0042361854881172185,0.0042361854881172185
LOC107984429,0.004191301844789675,0.004191301844789675
LOC105373583,-0.004170503727598365,0.004170503727598365
SLC16A3,-0.004160395527680698,0.004160395527680698
ZNF358,0.004156317443627147,0.004156317443627147
ABHD11,-0.0041169212000627025,0.0041169212000627025
PLGLB2,-0.004071502227861224,0.004071502227861224
CKB,0.004045610834538879,0.004045610834538879
SPACA6,0.004028027968769826,0.004028027968769826
H2BC12,0.004025731332967719,0.004025731332967719
LOC101927354,-0.0039567898235221615,0.0039567898235221615
SDF2L1,-0.003955449842544955,0.003955449842544955
WDR4,-0.003911793113963986,0.003911793113963986
KCTD19,0.0038629199938087634,0.0038629199938087634
ABCG1,0.0038310675566379827,0.0038310675566379827
NOB1,0.003795713147376187,0.003795713147376187
CFD,-0.0037908528984194967,0.0037908528984194967
LOC101928266,0.003778875817676014,0.003778875817676014
TLCD1,-0.0037724144932952675,0.0037724144932952675
H3C6,0.0037272932388742177,0.0037272932388742177
GCHFR,-0.0035715161862007847,0.0035715161862007847
LOC105372863,0.0035483001167797503,0.0035483001167797503
LOC105369308,0.003536453654455551,0.003536453654455551
PTPRN2,0.0035122276404393493,0.0035122276404393493
CCDC183,0.0035026178751579513,0.0035026178751579513
RAB26,-0.0034044404986675937,0.0034044404986675937
LOC100506688,-0.003353865778273073,0.003353865778273073
RPL5P18,-0.0033368911471779172,0.0033368911471779172
ASB16-AS1,-0.0033185944189389194,0.0033185944189389194
MVP,0.0033012004208519976,0.0033012004208519976
CCDC9B,0.003300229907538942,0.003300229907538942
